GGXWDN_NGDP	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Lesotho	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.264	0.128	0.129	25.060	16.486	20.797	6.584	-3.169	-11.308	-17.520	-4.365	2.273	-5.208	-3.623	-4.287	2.685	10.418	9.641	8.747	8.196	5.022
Liberia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	732.489	718.366	706.935	903.887	805.468	713.371	644.531	477.342	306.278	169.680	25.665	25.951	23.308	24.291	27.993	35.716	40.933	43.690	44.314	43.666	42.026
Libya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.217	54.879	53.393	53.706	51.535	50.782	42.592	36.316	37.027	27.383	5.537	4.265	-0.283	-13.437	-44.339	-59.007	-77.818	-77.585	-70.215	-93.595	-86.853	-170.453	-83.646	-92.871	-99.652	-53.096	14.795	68.808	106.330	130.528	137.564
Lithuania	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.312	24.931	19.623	18.700	17.283	15.667	14.493	13.815	11.001	10.980	12.612	23.024	29.160	32.894	33.623	16.192	19.161	17.768	18.756	19.319	20.141	20.781	20.873
Luxembourg																																									
FYR Macedonia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.520	38.815	35.263	33.790	32.637	30.663	29.673	22.311	19.814	18.544	21.052	21.447	26.084	29.510	30.411	33.660	36.483	38.697	40.401	41.923	43.232	44.329
Madagascar																																									
Malawi																																									
Malaysia																																									
Maldives	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.902	31.927	31.259	31.834	30.733	33.081	30.606	27.831	35.247	31.603	31.230	32.062	47.811	55.269	55.605	58.936	63.037	69.072	73.256	75.329	76.911	78.050	78.977	80.521
Mali	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.193	79.907	46.409	36.944	36.470	50.281	13.869	13.878	17.921	13.037	19.288	22.196	24.765	23.649	28.001	34.644	36.230	37.024	37.278	37.519	37.986
Malta																																									
Marshall Islands																																									
Mauritania																																									
Mauritius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.298	44.801	52.532	59.103	51.697	53.530	51.015	47.283	44.030	52.118	51.920	52.112	51.484	53.880	56.177	55.955	54.263	52.839	53.713	54.054	53.677
Mexico	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000	0.000	37.713	38.778	35.404	35.591	38.065	35.583	32.837	31.502	29.753	29.066	33.152	36.235	36.238	37.461	37.697	40.358	43.394	45.624	45.738	45.583	45.105	44.446	43.638
Micronesia																																									
Moldova																																									
Mongolia																																									
Montenegro																																									
Morocco	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.271	64.000	72.543	80.842	74.987	78.158	70.489	73.332	69.619	68.442	69.997	62.950	61.793	58.853	55.966	59.118	54.359	50.528	44.734	45.452	48.493	52.137	57.775	60.982	62.873	63.350	63.445	62.735	61.671	60.093	58.202
Mozambique																																									
Myanmar																																									
Namibia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.367	17.028	18.978	20.150	19.298	21.927	22.360	19.937	22.216	21.784	24.945	27.490	26.049	20.300	12.637	8.948	8.602	11.814	18.448	18.146	20.942	21.537	24.952	29.991	31.448	29.704	26.740	23.287
Nepal																																									
Netherlands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.077	36.378	33.453	30.841	20.583	19.509	20.171	22.409	22.291	23.850	21.836	20.688	17.701	16.165	20.176	23.326	26.379	27.866	31.653	33.353	34.817	35.354	35.774	35.927	35.817	35.427
New Zealand	NA	NA	NA	NA	59.280	56.888	53.732	48.108	44.752	44.006	44.471	50.766	54.852	52.385	46.832	40.533	35.725	33.298	33.085	32.295	30.082	26.934	22.952	18.262	12.734	7.318	2.723	-0.876	-2.340	-0.782	2.344	6.130	7.719	7.748	8.201	8.795	8.600	8.127	7.371	6.317	5.201
Nicaragua																																									
Niger	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.753	3.595	5.148	1.533	1.890	0.085	1.130	-5.605	2.074	2.488	2.942	-37.130	1.521	1.899	0.885	4.254	2.578	1.942	2.953	3.647	4.850	3.350	2.930	2.925	2.863	2.264
Nigeria																																									
Norway	0.364	-2.054	-4.407	-7.796	-11.610	-14.808	-19.288	-19.629	-33.325	-32.459	-32.413	-38.400	-35.964	-33.157	-31.404	-41.756	-46.562	-52.676	-57.050	-61.421	-71.300	-89.280	-85.281	-98.806	-108.173	-123.722	-137.415	-143.711	-128.831	-158.348	-167.624	-162.417	-171.365	-205.377	-244.320	-261.680	-269.221	-268.582	-268.026	-269.549	-272.896
Oman	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-31.734	-23.180	-20.798	-18.966	-22.527	-22.895	-22.869	-25.442	-29.097	-25.489	-28.183	-30.205	-32.722	-33.305	-37.266	-30.200	-40.080	-36.030	-35.022	-34.460	-49.865	-50.574	-51.711	-34.439	-16.210	-14.682	-4.192	6.913
Pakistan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.242	75.745	68.992	62.284	58.653	49.168	47.096	53.447	55.142	57.431	56.469	59.938	61.081	59.419	59.644	59.670	58.509	57.196	56.761	55.794
Palau																																									
Panama	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	115.744	101.834	93.266	87.477	85.585	72.597	67.121	64.828	61.496	59.753	64.477	63.539	60.059	62.252	62.605	59.427	51.528	44.184	43.488	39.628	39.794	39.156	38.630	42.657	44.712	44.774	42.879	40.254	38.314	36.382
Papua New Guinea																																									
Paraguay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.911	40.288	57.778	42.749	32.188	26.104	19.025	14.845	13.664	12.726	9.263	6.985	11.247	11.733	12.722	16.694	19.204	21.143	22.957	24.646	26.111
